,artist,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
93,dream theater,"breaking the fourth wall (live at the boston opera house, boston, ma, 3/25/2014)",8,3pz5fgi5fupxhyliwmmgfy,"breaking all illusions - live at the boston opera house, boston, ma, 3/25/2014",spotify:track:3pz5fgi5fupxhyliwmmgfy,0.000944,0.257,0.928,0.037,0.919,-5.985,0.107,130.009,0.329,24
94,dream theater,"breaking the fourth wall (live at the boston opera house, boston, ma, 3/25/2014)",1,3l1u0t0y0slmrgdl8iqdry,"the mirror - live at the boston opera house, boston, ma, 3/25/2014",spotify:track:3l1u0t0y0slmrgdl8iqdry,0.000314,0.191,0.95,0.000344,0.791,-5.667,0.185,85.086,0.281,20
95,dream theater,"breaking the fourth wall (live at the boston opera house, boston, ma, 3/25/2014)",2,47hnsjy6qom1aznvoedw00,"lie - live at the boston opera house, boston, ma, 3/25/2014",spotify:track:47hnsjy6qom1aznvoedw00,0.00199,0.146,0.964,0.000697,0.722,-5.406,0.248,73.999,0.148,19
96,dream theater,"breaking the fourth wall (live at the boston opera house, boston, ma, 3/25/2014)",3,2zx7abyemdzbqn68ca4jjx,"lifting shadows off a dream - live at the boston opera house, boston, ma, 3/25/2014",spotify:track:2zx7abyemdzbqn68ca4jjx,0.0158,0.465,0.826,0.00204,0.888,-6.24,0.0419,107.955,0.325,19
97,dream theater,"breaking the fourth wall (live at the boston opera house, boston, ma, 3/25/2014)",4,5y8dqxqju608nvgfswdtzq,"scarred - live at the boston opera house, boston, ma, 3/25/2014",spotify:track:5y8dqxqju608nvgfswdtzq,0.00206,0.176,0.944,0.0101,0.934,-5.334,0.15,101.106,0.246,18
98,dream theater,"breaking the fourth wall (live at the boston opera house, boston, ma, 3/25/2014)",5,3xh4rfjankumgod0glcmm3,"space dye vest - live at the boston opera house, boston, ma, 3/25/2014",spotify:track:3xh4rfjankumgod0glcmm3,0.101,0.455,0.744,0.0252,0.958,-6.607,0.0323,101.791,0.123,21
99,dream theater,"breaking the fourth wall (live at the boston opera house, boston, ma, 3/25/2014)",6,3ytfngo3xfp5cqb82aeumg,"illumination theory - live at the boston opera house, boston, ma, 3/25/2014",spotify:track:3ytfngo3xfp5cqb82aeumg,0.00962,0.213,0.923,0.234,0.948,-5.865,0.107,123.157,0.0994,23
100,dream theater,"breaking the fourth wall (live at the boston opera house, boston, ma, 3/25/2014)",1,4aj34nhocyzgiijyepty7l,"scene two: i. overture 1928 - live at the boston opera house, boston, ma, 3/25/2014",spotify:track:4aj34nhocyzgiijyepty7l,0.00035,0.419,0.919,0.948,0.944,-5.662,0.101,111.173,0.317,20
101,dream theater,"breaking the fourth wall (live at the boston opera house, boston, ma, 3/25/2014)",2,0uf88pffadkynwv4wrvp4w,"scene two: ii. strange deja vu - live at the boston opera house, boston, ma, 3/25/2014",spotify:track:0uf88pffadkynwv4wrvp4w,0.00158,0.191,0.957,0.000341,0.6,-5.36,0.104,110.97,0.173,20
102,dream theater,"breaking the fourth wall (live at the boston opera house, boston, ma, 3/25/2014)",3,2hjilmvwaeikvixp2duaj7,"scene seven: i. the dance of eternity - live at the boston opera house, boston, ma, 3/25/2014",spotify:track:2hjilmvwaeikvixp2duaj7,0.000178,0.262,0.95,0.918,0.752,-5.907,0.179,131.539,0.373,23
